original,original_year,original_url,remake,remake_year,remake_url,original_wikidata_id,remake_wikidata_id
Psycho,1960,https://en.wikipedia.org/wiki/Psycho_(1960_film),Psycho,1998,https://en.wikipedia.org/wiki/Psycho_(1998_film),Q163038,Q979196
Pulse,2001,https://en.wikipedia.org/wiki/Pulse_(2001_film),Pulse,2006,https://en.wikipedia.org/wiki/Pulse_(2006_film),Q196184,Q744911
Ransom!,1956,https://en.wikipedia.org/wiki/Ransom!,Ransom,1996,https://en.wikipedia.org/wiki/Ransom_(1996_film),Q1471327,Q752362
Rashomon,1950,https://en.wikipedia.org/wiki/Rashomon,The Outrage,1964,https://en.wikipedia.org/wiki/The_Outrage,Q135465,Q1044883
Ready,2008,https://en.wikipedia.org/wiki/Ready_(2008_film),Ready,2011,https://en.wikipedia.org/wiki/Ready_(2011_film),Q7300646,Q3351117
Rear Window,1954,https://en.wikipedia.org/wiki/Rear_Window,Rear Window,1998,https://en.wikipedia.org/wiki/Rear_Window_(1998_film),Q34414,Q579068
REC,2007,https://en.wikipedia.org/wiki/REC_(film),Quarantine,2008,https://en.wikipedia.org/wiki/Quarantine_(2008_film),Q754474,Q1138614
Red Dawn,1984,https://en.wikipedia.org/wiki/Red_Dawn,Red Dawn,2012,https://en.wikipedia.org/wiki/Red_Dawn_(2012_film),Q506400,Q553920
Red Dust,1932,https://en.wikipedia.org/wiki/Red_Dust_(1932_film),Mogambo,1953,https://en.wikipedia.org/wiki/Mogambo,Q1262188,Q1122534
Rendezvous,1935,https://en.wikipedia.org/wiki/Rendezvous_(1935_film),Pacific Rendezvous,1942,https://en.wikipedia.org/wiki/Pacific_Rendezvous,Q7312813,Q7122650
Resurrection,1980,https://en.wikipedia.org/wiki/Resurrection_(1980_film),Resurrection,1999,https://en.wikipedia.org/wiki/Resurrection_(1980_film)#Television,Q1199639,Q1199639
Retribution,2015,https://en.wikipedia.org/wiki/Retribution_(2015_film),Hard Hit,2021,https://en.wikipedia.org/wiki/Hard_Hit,Q21218461,Q106882211
Retribution,2015,https://en.wikipedia.org/wiki/Retribution_(2015_film),Retribution,2023,https://en.wikipedia.org/wiki/Hard_Hit,Q21218461,Q106882211
Ringu,1998,https://en.wikipedia.org/wiki/Ring_(film),The Ring,2002,https://en.wikipedia.org/wiki/The_Ring_(2002_film),Q531328,Q212804
RoboCop,1987,https://en.wikipedia.org/wiki/RoboCop,RoboCop,2014,https://en.wikipedia.org/wiki/RoboCop_(2014_film),Q372514,Q864518
The Rocky Horror Picture Show,1975,https://en.wikipedia.org/wiki/The_Rocky_Horror_Picture_Show,The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,https://en.wikipedia.org/wiki/The_Rocky_Horror_Picture_Show:_Let%27s_Do_the_Time_Warp_Again,Q751921,Q21450483
Rollerball,1975,https://en.wikipedia.org/wiki/Rollerball_(1975_film),Rollerball,2002,https://en.wikipedia.org/wiki/Rollerball_(2002_film),Q627209,Q383844
Roman Holiday,1953,https://en.wikipedia.org/wiki/Roman_Holiday,Roman Holiday,1987,https://en.wikipedia.org/wiki/Roman_Holiday_(1987_film),Q201293,Q7361999
The Roman Spring of Mrs. Stone,1961,https://en.wikipedia.org/wiki/The_Roman_Spring_of_Mrs._Stone,The Roman Spring of Mrs. Stone,2003,https://en.wikipedia.org/wiki/The_Roman_Spring_of_Mrs._Stone_(2003_film),Q949945,Q3989072
Rome Express,1932,https://en.wikipedia.org/wiki/Rome_Express,Sleeping Car to Trieste,1948,https://en.wikipedia.org/wiki/Sleeping_Car_to_Trieste,Q3441176,Q7539855
The Room,2003,https://en.wikipedia.org/wiki/The_Room,The Room Returns!,2023,https://en.wikipedia.org/wiki/The_Room_Returns!,Q533383,Q117842621
Ruggles of Red Gap,1935,https://en.wikipedia.org/wiki/Ruggles_of_Red_Gap,Fancy Pants,1950,https://en.wikipedia.org/wiki/Fancy_Pants_(film),Q1304355,Q1424374
Run,2002,https://en.wikipedia.org/wiki/Run_(2002_film),Run,2004,https://en.wikipedia.org/wiki/Run_(2004_film),Q7379480,Q3453198
Runaway Daughters,1956,https://en.wikipedia.org/wiki/Runaway_Daughters_(1956_film),Runaway Daughters,1994,https://en.wikipedia.org/wiki/Runaway_Daughters_(1994_film),Q3942692,Q2053037
Sabrina,1954,https://en.wikipedia.org/wiki/Sabrina_(1954_film),Sabrina,1995,https://en.wikipedia.org/wiki/Sabrina_(1995_film),Q152493,Q900708
Sahara,1943,https://en.wikipedia.org/wiki/Sahara_(1943_American_film),Last of the Comanches,1953,https://en.wikipedia.org/wiki/Last_of_the_Comanches,Q769280,Q15631279
Sahara,1943,https://en.wikipedia.org/wiki/Sahara_(1943_American_film),Sahara,1995,https://en.wikipedia.org/wiki/Last_of_the_Comanches,Q769280,Q15631279
Satan's School for Girls,1973,https://en.wikipedia.org/wiki/Satan%27s_School_for_Girls_(1973_film),Satan's School for Girls,2000,https://en.wikipedia.org/wiki/Satan%27s_School_for_Girls_(2000_film),Q7425887,Q3207428
